year,quarter,location,type,persons
2004,3,Nova Scotia,in-migration,5144
2004,4,Nova Scotia,in-migration,2529
2005,1,Nova Scotia,in-migration,3184
2005,2,Nova Scotia,in-migration,4183
2005,3,Nova Scotia,in-migration,5180
2005,4,Nova Scotia,in-migration,2536
2006,1,Nova Scotia,in-migration,3123
2006,2,Nova Scotia,in-migration,4224
2006,3,Nova Scotia,in-migration,5406
2006,4,Nova Scotia,in-migration,3141
2007,1,Nova Scotia,in-migration,2699
2007,2,Nova Scotia,in-migration,3668
2007,3,Nova Scotia,in-migration,5092
2007,4,Nova Scotia,in-migration,2973
2008,1,Nova Scotia,in-migration,3605
2008,2,Nova Scotia,in-migration,4320
2008,3,Nova Scotia,in-migration,5139
2008,4,Nova Scotia,in-migration,2987
2009,1,Nova Scotia,in-migration,3519
2009,2,Nova Scotia,in-migration,3822
2009,3,Nova Scotia,in-migration,4579
2009,4,Nova Scotia,in-migration,2669
2010,1,Nova Scotia,in-migration,3852
2010,2,Nova Scotia,in-migration,4072
2010,3,Nova Scotia,in-migration,4678
2010,4,Nova Scotia,in-migration,2755
2011,1,Nova Scotia,in-migration,3243
2011,2,Nova Scotia,in-migration,3877
2011,3,Nova Scotia,in-migration,4802
2011,4,Nova Scotia,in-migration,2831
2012,1,Nova Scotia,in-migration,3991
2012,2,Nova Scotia,in-migration,4372
2012,3,Nova Scotia,in-migration,4242
2012,4,Nova Scotia,in-migration,2390
2013,1,Nova Scotia,in-migration,2978
2013,2,Nova Scotia,in-migration,4642
2013,3,Nova Scotia,in-migration,3567
2013,4,Nova Scotia,in-migration,2500
2014,1,Nova Scotia,in-migration,3259
2014,2,Nova Scotia,in-migration,5229
2014,3,Nova Scotia,in-migration,3927
2014,4,Nova Scotia,in-migration,2153
2015,1,Nova Scotia,in-migration,3453
2015,2,Nova Scotia,in-migration,5948
2015,3,Nova Scotia,in-migration,4564
2015,4,Nova Scotia,in-migration,2660
2016,1,Nova Scotia,in-migration,4019
2016,2,Nova Scotia,in-migration,5440
2016,3,Nova Scotia,in-migration,4932
2016,4,Nova Scotia,in-migration,2218
2017,1,Nova Scotia,in-migration,4338
2017,2,Nova Scotia,in-migration,5723
1961,3,New Brunswick,in-migration,4828
1961,4,New Brunswick,in-migration,4735
1962,1,New Brunswick,in-migration,3476
1962,2,New Brunswick,in-migration,2895
1962,3,New Brunswick,in-migration,4861
1962,4,New Brunswick,in-migration,5288
1963,1,New Brunswick,in-migration,3101
1963,2,New Brunswick,in-migration,2954
1963,3,New Brunswick,in-migration,5411
1963,4,New Brunswick,in-migration,5411
1964,1,New Brunswick,in-migration,3507
1964,2,New Brunswick,in-migration,3013
1964,3,New Brunswick,in-migration,5549
1964,4,New Brunswick,in-migration,5542
1965,1,New Brunswick,in-migration,4012
1965,2,New Brunswick,in-migration,3529
1965,3,New Brunswick,in-migration,6396
1965,4,New Brunswick,in-migration,6254
1966,1,New Brunswick,in-migration,3517
1966,2,New Brunswick,in-migration,3767
1966,3,New Brunswick,in-migration,6482
1966,4,New Brunswick,in-migration,6131
1967,1,New Brunswick,in-migration,3566
1967,2,New Brunswick,in-migration,3952
1967,3,New Brunswick,in-migration,6707
1967,4,New Brunswick,in-migration,6281
1968,1,New Brunswick,in-migration,3597
1968,2,New Brunswick,in-migration,3928
1968,3,New Brunswick,in-migration,5064
1968,4,New Brunswick,in-migration,6257
1969,1,New Brunswick,in-migration,3138
1969,2,New Brunswick,in-migration,3213
1969,3,New Brunswick,in-migration,5136
1969,4,New Brunswick,in-migration,5088
1970,1,New Brunswick,in-migration,3662
1970,2,New Brunswick,in-migration,4317
1970,3,New Brunswick,in-migration,4854
1970,4,New Brunswick,in-migration,7353
1971,1,New Brunswick,in-migration,4527
1971,2,New Brunswick,in-migration,3625
1971,3,New Brunswick,in-migration,7032
1971,4,New Brunswick,in-migration,6452
1972,1,New Brunswick,in-migration,3718
1972,2,New Brunswick,in-migration,2988
1972,3,New Brunswick,in-migration,6429
1972,4,New Brunswick,in-migration,5051
1973,1,New Brunswick,in-migration,5906
1973,2,New Brunswick,in-migration,3303
1973,3,New Brunswick,in-migration,6636
1973,4,New Brunswick,in-migration,6853
1974,1,New Brunswick,in-migration,4254
1974,2,New Brunswick,in-migration,4068
1974,3,New Brunswick,in-migration,7467
1974,4,New Brunswick,in-migration,7102
1975,1,New Brunswick,in-migration,5309
1975,2,New Brunswick,in-migration,4194
1975,3,New Brunswick,in-migration,7452
1975,4,New Brunswick,in-migration,7206
1976,1,New Brunswick,in-migration,4430
1976,2,New Brunswick,in-migration,3810
1976,3,New Brunswick,in-migration,6313
1976,4,New Brunswick,in-migration,2875
1977,1,New Brunswick,in-migration,2802
1977,2,New Brunswick,in-migration,3975
1977,3,New Brunswick,in-migration,6001
1977,4,New Brunswick,in-migration,2733
1978,1,New Brunswick,in-migration,2607
1978,2,New Brunswick,in-migration,3794
1978,3,New Brunswick,in-migration,5882
1978,4,New Brunswick,in-migration,2700
1979,1,New Brunswick,in-migration,2620
1979,2,New Brunswick,in-migration,3727
1979,3,New Brunswick,in-migration,5458
1979,4,New Brunswick,in-migration,2499
1980,1,New Brunswick,in-migration,2418
1980,2,New Brunswick,in-migration,3480
1980,3,New Brunswick,in-migration,5260
1980,4,New Brunswick,in-migration,2430
1981,1,New Brunswick,in-migration,2301
1981,2,New Brunswick,in-migration,3365
1981,3,New Brunswick,in-migration,5387
1981,4,New Brunswick,in-migration,2596
1982,1,New Brunswick,in-migration,2422
1982,2,New Brunswick,in-migration,3452
1982,3,New Brunswick,in-migration,5909
1982,4,New Brunswick,in-migration,2742
1983,1,New Brunswick,in-migration,2474
1983,2,New Brunswick,in-migration,3891
1983,3,New Brunswick,in-migration,4868
1983,4,New Brunswick,in-migration,2241
1984,1,New Brunswick,in-migration,2073
1984,2,New Brunswick,in-migration,3268
1984,3,New Brunswick,in-migration,4566
1984,4,New Brunswick,in-migration,2103
1985,1,New Brunswick,in-migration,1543
1985,2,New Brunswick,in-migration,2759
1985,3,New Brunswick,in-migration,5063
1985,4,New Brunswick,in-migration,2322
1986,1,New Brunswick,in-migration,1684
1986,2,New Brunswick,in-migration,2639
1986,3,New Brunswick,in-migration,4733
1986,4,New Brunswick,in-migration,2103
1987,1,New Brunswick,in-migration,1819
1987,2,New Brunswick,in-migration,3198
1987,3,New Brunswick,in-migration,5909
1987,4,New Brunswick,in-migration,2289
1988,1,New Brunswick,in-migration,1797
1988,2,New Brunswick,in-migration,3105
1988,3,New Brunswick,in-migration,6028
1988,4,New Brunswick,in-migration,2782
1989,1,New Brunswick,in-migration,2139
1989,2,New Brunswick,in-migration,3202
1989,3,New Brunswick,in-migration,6508
1989,4,New Brunswick,in-migration,3025
1990,1,New Brunswick,in-migration,2314
1990,2,New Brunswick,in-migration,3468
1990,3,New Brunswick,in-migration,5934
1990,4,New Brunswick,in-migration,2547
1991,1,New Brunswick,in-migration,1891
1991,2,New Brunswick,in-migration,3372
1991,3,New Brunswick,in-migration,5286
1991,4,New Brunswick,in-migration,2274
1992,1,New Brunswick,in-migration,1881
1992,2,New Brunswick,in-migration,3274
1992,3,New Brunswick,in-migration,4781
1992,4,New Brunswick,in-migration,2098
1993,1,New Brunswick,in-migration,1744
1993,2,New Brunswick,in-migration,3048
1993,3,New Brunswick,in-migration,4445
1993,4,New Brunswick,in-migration,1802
1994,1,New Brunswick,in-migration,1428
1994,2,New Brunswick,in-migration,3050
1994,3,New Brunswick,in-migration,4171
1994,4,New Brunswick,in-migration,2084
1995,1,New Brunswick,in-migration,1728
1995,2,New Brunswick,in-migration,2870
1995,3,New Brunswick,in-migration,4392
1995,4,New Brunswick,in-migration,2217
1996,1,New Brunswick,in-migration,2216
1996,2,New Brunswick,in-migration,2945
1996,3,New Brunswick,in-migration,3984
1996,4,New Brunswick,in-migration,1922
1997,1,New Brunswick,in-migration,2274
1997,2,New Brunswick,in-migration,3050
1997,3,New Brunswick,in-migration,4054
1997,4,New Brunswick,in-migration,2057
1998,1,New Brunswick,in-migration,1849
1998,2,New Brunswick,in-migration,2944
1998,3,New Brunswick,in-migration,3236
1998,4,New Brunswick,in-migration,1657
1999,1,New Brunswick,in-migration,2128
1999,2,New Brunswick,in-migration,3449
1999,3,New Brunswick,in-migration,3568
1999,4,New Brunswick,in-migration,1886
2000,1,New Brunswick,in-migration,2476
2000,2,New Brunswick,in-migration,3356
2000,3,New Brunswick,in-migration,3633
2000,4,New Brunswick,in-migration,1839
2001,1,New Brunswick,in-migration,2308
2001,2,New Brunswick,in-migration,2759
2001,3,New Brunswick,in-migration,3640
2001,4,New Brunswick,in-migration,1819
2002,1,New Brunswick,in-migration,2513
2002,2,New Brunswick,in-migration,3738
2002,3,New Brunswick,in-migration,3630
2002,4,New Brunswick,in-migration,1897
2003,1,New Brunswick,in-migration,2228
2003,2,New Brunswick,in-migration,3478
2003,3,New Brunswick,in-migration,3428
2003,4,New Brunswick,in-migration,1592
2004,1,New Brunswick,in-migration,2524
2004,2,New Brunswick,in-migration,3146
2004,3,New Brunswick,in-migration,3303
2004,4,New Brunswick,in-migration,1956
2005,1,New Brunswick,in-migration,2149
2005,2,New Brunswick,in-migration,3196
2005,3,New Brunswick,in-migration,3856
2005,4,New Brunswick,in-migration,1590
2006,1,New Brunswick,in-migration,2277
2006,2,New Brunswick,in-migration,2463
2006,3,New Brunswick,in-migration,3409
2006,4,New Brunswick,in-migration,2062
2007,1,New Brunswick,in-migration,2369
2007,2,New Brunswick,in-migration,3170
2007,3,New Brunswick,in-migration,4023
2007,4,New Brunswick,in-migration,2336
2008,1,New Brunswick,in-migration,2447
2008,2,New Brunswick,in-migration,2871
2008,3,New Brunswick,in-migration,3872
2008,4,New Brunswick,in-migration,1981
2009,1,New Brunswick,in-migration,2561
2009,2,New Brunswick,in-migration,2854
2009,3,New Brunswick,in-migration,3368
2009,4,New Brunswick,in-migration,1933
2010,1,New Brunswick,in-migration,2819
2010,2,New Brunswick,in-migration,2763
2010,3,New Brunswick,in-migration,3110
2010,4,New Brunswick,in-migration,1930
2011,1,New Brunswick,in-migration,2353
2011,2,New Brunswick,in-migration,2774
2011,3,New Brunswick,in-migration,3376
2011,4,New Brunswick,in-migration,2097
2012,1,New Brunswick,in-migration,2396
2012,2,New Brunswick,in-migration,2974
2012,3,New Brunswick,in-migration,2929
2012,4,New Brunswick,in-migration,1377
2013,1,New Brunswick,in-migration,2315
2013,2,New Brunswick,in-migration,3147
2013,3,New Brunswick,in-migration,2741
2013,4,New Brunswick,in-migration,1842
2014,1,New Brunswick,in-migration,2328
2014,2,New Brunswick,in-migration,3240
2014,3,New Brunswick,in-migration,2570
2014,4,New Brunswick,in-migration,1681
2015,1,New Brunswick,in-migration,2801
2015,2,New Brunswick,in-migration,3271
2015,3,New Brunswick,in-migration,3120
2015,4,New Brunswick,in-migration,1749
2016,1,New Brunswick,in-migration,2872
2016,2,New Brunswick,in-migration,3237
2016,3,New Brunswick,in-migration,3720
2016,4,New Brunswick,in-migration,1530
2017,1,New Brunswick,in-migration,3115
2017,2,New Brunswick,in-migration,3741
1961,3,Quebec,in-migration,13955
1961,4,Quebec,in-migration,11973
1962,1,Quebec,in-migration,9586
1962,2,Quebec,in-migration,8506
1962,3,Quebec,in-migration,14393
1962,4,Quebec,in-migration,14022
1963,1,Quebec,in-migration,7863
1963,2,Quebec,in-migration,8006
1963,3,Quebec,in-migration,13530
1963,4,Quebec,in-migration,12250
1964,1,Quebec,in-migration,7683
1964,2,Quebec,in-migration,7140
1964,3,Quebec,in-migration,13791
1964,4,Quebec,in-migration,12620
1965,1,Quebec,in-migration,8753
1965,2,Quebec,in-migration,7898
1965,3,Quebec,in-migration,14278
1965,4,Quebec,in-migration,14132
1966,1,Quebec,in-migration,8663
1966,2,Quebec,in-migration,8014
1966,3,Quebec,in-migration,14505
1966,4,Quebec,in-migration,14199
1967,1,Quebec,in-migration,7950
1967,2,Quebec,in-migration,7757
1967,3,Quebec,in-migration,12717
1967,4,Quebec,in-migration,12797
1968,1,Quebec,in-migration,7465
1968,2,Quebec,in-migration,6521
1968,3,Quebec,in-migration,9756
1968,4,Quebec,in-migration,13546
1969,1,Quebec,in-migration,8575
1969,2,Quebec,in-migration,7075
1969,3,Quebec,in-migration,11226
1969,4,Quebec,in-migration,11406
1970,1,Quebec,in-migration,7021
1970,2,Quebec,in-migration,6801
1970,3,Quebec,in-migration,5564
1970,4,Quebec,in-migration,13269
1971,1,Quebec,in-migration,8074
1971,2,Quebec,in-migration,7638
1971,3,Quebec,in-migration,10629
1971,4,Quebec,in-migration,12397
1972,1,Quebec,in-migration,8996
1972,2,Quebec,in-migration,5989
1972,3,Quebec,in-migration,9660
1972,4,Quebec,in-migration,11505
1973,1,Quebec,in-migration,7726
1973,2,Quebec,in-migration,7251
1973,3,Quebec,in-migration,11481
1973,4,Quebec,in-migration,13174
1974,1,Quebec,in-migration,8658
1974,2,Quebec,in-migration,7862
1974,3,Quebec,in-migration,11413
1974,4,Quebec,in-migration,11377
1975,1,Quebec,in-migration,8255
1975,2,Quebec,in-migration,6180
1975,3,Quebec,in-migration,9314
1975,4,Quebec,in-migration,10708
1976,1,Quebec,in-migration,6449
1976,2,Quebec,in-migration,6091
1976,3,Quebec,in-migration,11677
1976,4,Quebec,in-migration,5286
1977,1,Quebec,in-migration,5184
1977,2,Quebec,in-migration,6720
1977,3,Quebec,in-migration,9675
1977,4,Quebec,in-migration,4376
1978,1,Quebec,in-migration,4298
1978,2,Quebec,in-migration,5596
1978,3,Quebec,in-migration,10331
1978,4,Quebec,in-migration,4655
1979,1,Quebec,in-migration,4565
1979,2,Quebec,in-migration,5973
1979,3,Quebec,in-migration,8884
1979,4,Quebec,in-migration,4012
1980,1,Quebec,in-migration,3965
1980,2,Quebec,in-migration,5157
1980,3,Quebec,in-migration,9226
1980,4,Quebec,in-migration,4169
1981,1,Quebec,in-migration,4120
1981,2,Quebec,in-migration,5390
1981,3,Quebec,in-migration,9476
1981,4,Quebec,in-migration,3778
1982,1,Quebec,in-migration,3438
1982,2,Quebec,in-migration,4657
1982,3,Quebec,in-migration,8023
1982,4,Quebec,in-migration,3887
1983,1,Quebec,in-migration,4085
1983,2,Quebec,in-migration,4886
1983,3,Quebec,in-migration,8436
1983,4,Quebec,in-migration,4080
1984,1,Quebec,in-migration,4305
1984,2,Quebec,in-migration,6210
1984,3,Quebec,in-migration,10275
1984,4,Quebec,in-migration,4236
1985,1,Quebec,in-migration,4259
1985,2,Quebec,in-migration,6213
1985,3,Quebec,in-migration,10482
1985,4,Quebec,in-migration,4347
1986,1,Quebec,in-migration,4343
1986,2,Quebec,in-migration,6443
1986,3,Quebec,in-migration,11531
1986,4,Quebec,in-migration,4115
1987,1,Quebec,in-migration,4023
1987,2,Quebec,in-migration,5839
1987,3,Quebec,in-migration,11440
1987,4,Quebec,in-migration,4648
1988,1,Quebec,in-migration,4121
1988,2,Quebec,in-migration,6166
1988,3,Quebec,in-migration,12664
1988,4,Quebec,in-migration,4846
1989,1,Quebec,in-migration,4100
1989,2,Quebec,in-migration,6183
1989,3,Quebec,in-migration,13448
1989,4,Quebec,in-migration,5118
1990,1,Quebec,in-migration,4342
1990,2,Quebec,in-migration,7127
1990,3,Quebec,in-migration,11063
1990,4,Quebec,in-migration,4350
1991,1,Quebec,in-migration,3495
1991,2,Quebec,in-migration,6312
1991,3,Quebec,in-migration,10787
1991,4,Quebec,in-migration,3834
1992,1,Quebec,in-migration,3834
1992,2,Quebec,in-migration,6661
1992,3,Quebec,in-migration,11045
1992,4,Quebec,in-migration,3940
1993,1,Quebec,in-migration,3948
1993,2,Quebec,in-migration,6617
1993,3,Quebec,in-migration,9914
1993,4,Quebec,in-migration,4066
1994,1,Quebec,in-migration,3682
1994,2,Quebec,in-migration,6115
1994,3,Quebec,in-migration,8720
1994,4,Quebec,in-migration,4201
1995,1,Quebec,in-migration,3756
1995,2,Quebec,in-migration,6379
1995,3,Quebec,in-migration,8406
1995,4,Quebec,in-migration,4574
1996,1,Quebec,in-migration,3897
1996,2,Quebec,in-migration,5679
1996,3,Quebec,in-migration,7711
1996,4,Quebec,in-migration,3561
1997,1,Quebec,in-migration,3576
1997,2,Quebec,in-migration,5589
1997,3,Quebec,in-migration,7812
1997,4,Quebec,in-migration,3377
1998,1,Quebec,in-migration,3839
1998,2,Quebec,in-migration,5485
1998,3,Quebec,in-migration,6903
1998,4,Quebec,in-migration,3929
1999,1,Quebec,in-migration,3299
1999,2,Quebec,in-migration,5375
1999,3,Quebec,in-migration,7577
1999,4,Quebec,in-migration,3726
2000,1,Quebec,in-migration,4152
2000,2,Quebec,in-migration,5534
2000,3,Quebec,in-migration,8329
2000,4,Quebec,in-migration,4036
2001,1,Quebec,in-migration,3799
2001,2,Quebec,in-migration,5177
2001,3,Quebec,in-migration,8418
2001,4,Quebec,in-migration,4326
2002,1,Quebec,in-migration,4075
2002,2,Quebec,in-migration,7669
2002,3,Quebec,in-migration,8227
2002,4,Quebec,in-migration,4558
2003,1,Quebec,in-migration,4251
2003,2,Quebec,in-migration,7236
2003,3,Quebec,in-migration,8311
2003,4,Quebec,in-migration,3861
2004,1,Quebec,in-migration,4477
2004,2,Quebec,in-migration,7078
2004,3,Quebec,in-migration,6985
2004,4,Quebec,in-migration,4812
2005,1,Quebec,in-migration,4028
2005,2,Quebec,in-migration,6908
2005,3,Quebec,in-migration,7264
2005,4,Quebec,in-migration,3653
2006,1,Quebec,in-migration,3847
2006,2,Quebec,in-migration,5200
2006,3,Quebec,in-migration,7460
2006,4,Quebec,in-migration,4042
2007,1,Quebec,in-migration,3223
2007,2,Quebec,in-migration,4972
2007,3,Quebec,in-migration,7145
2007,4,Quebec,in-migration,3446
2008,1,Quebec,in-migration,3812
2008,2,Quebec,in-migration,5699
2008,3,Quebec,in-migration,7548
2008,4,Quebec,in-migration,3542
2009,1,Quebec,in-migration,4059
2009,2,Quebec,in-migration,5158
2009,3,Quebec,in-migration,7263
2009,4,Quebec,in-migration,3759
2010,1,Quebec,in-migration,4129
2010,2,Quebec,in-migration,5897
2010,3,Quebec,in-migration,6823
2010,4,Quebec,in-migration,3760
2011,1,Quebec,in-migration,3843
